GenetID,Site,Degree,Max_Span_m,Hull_Area_m2
VES-1-01,xeric,23,12.18,74.09
VES-1-02,xeric,1,0.0,0.0
VES-1-03,xeric,2,1.53,0.0
VES-1-04,xeric,1,0.0,0.0
VES-2-01,xeric,10,6.45,11.47
VES-2-02,xeric,1,0.0,0.0
VES-3-01,xeric,22,13.57,91.3
VES-3-02,xeric,1,0.0,0.0
VES-3-03,xeric,2,0.15,0.0
VES-3-04,xeric,4,3.72,2.62
VES-4-01,mesic,4,6.01,6.84
VES-4-02,mesic,18,11.05,49.07
VES-4-02 ,mesic,4,0.4,0.0
VES-4-03,mesic,4,2.1,0.02
VES-4-04,mesic,2,5.08,0.0
VES-5-01,mesic,15,8.02,26.26
VES-5-02,mesic,3,7.38,0.59
VES-5-03,mesic,3,5.9,13.25
VES-5-04,mesic,1,0.0,0.0
VES-5-05,mesic,1,0.0,0.0
VES-5-06,mesic,10,8.75,17.43
VES-5-07,mesic,11,8.63,20.17
VES-6-01,mesic,22,9.64,34.69
VES-6-02,mesic,6,3.04,2.45
VES-6-03,mesic,5,2.27,1.46
VES-6-04,mesic,14,9.75,28.24
VES-6-05,mesic,2,0.01,0.0
VES-6-06,mesic,1,0.0,0.0
VES-6-07,mesic,1,0.0,0.0
VIN-1-01,xeric,5,0.91,0.18
VIN-1-02,xeric,1,0.0,0.0
VIN-2-01,xeric,1,0.0,0.0
VIN-2-02,xeric,3,2.78,1.4
VIN-2-03,xeric,10,10.08,39.89
VIN-2-04,xeric,1,0.0,0.0
VIN-3-01,xeric,7,10.78,10.41
VIN-3-02,xeric,2,1.24,0.0
VIN-3-03,xeric,1,0.0,0.0
VIN-3-04,xeric,13,10.85,33.4
VIN-3-05,xeric,1,0.0,0.0
VIN-4-01,mesic,4,2.41,1.09
VIN-4-02,mesic,16,8.59,39.52
VIN-5-01,mesic,3,1.5,0.33
VIN-5-02,mesic,2,1.37,0.0
VIN-5-03,mesic,1,0.0,0.0
VIN-5-04,mesic,3,1.45,0.12
VIN-6-01,mesic,18,9.74,46.95
VIN-6-02,mesic,6,3.59,2.13
VIN-6-03,mesic,7,3.82,5.42
VIN-6-04,mesic,2,0.08,0.0
VIN-6-05,mesic,1,0.0,0.0
VIN-6-06,mesic,5,1.94,0.58
VIN-6-07,mesic,1,0.0,0.0
VIN-6-08,mesic,1,0.0,0.0
VIN-6-09,mesic,2,2.3,0.0
VIN-6-10,mesic,1,0.0,0.0
